1	Enemy	0	2	2019-06-12 05:02:12	2019-06-12 05:02:12
2	Ally	0	1	2019-06-12 05:02:12	2019-06-12 05:02:12
3	Mutual Fear	0	\N	2019-08-25 19:18:56	2019-08-25 19:19:30
4	Primary Affinity	0	5	2019-08-25 19:20:04	2019-08-25 19:20:04
5	Secondary Affinity	0	4	2019-08-25 19:20:22	2019-08-25 19:20:22
6	Friendship	0	\N	2019-08-25 19:20:41	2019-08-25 19:20:41
7	Rivals	0	\N	2019-08-25 19:34:50	2019-08-25 19:34:50
8	Hatred	0	\N	2019-08-25 19:34:59	2019-08-25 19:34:59
9	Mutual Envy	0	\N	2019-08-25 19:35:29	2019-08-25 19:35:29
10	Romance	0	\N	2019-08-25 19:35:29	2019-08-25 19:35:29
11	Identity Creature Type	0	\N	2019-09-01 03:59:34	2019-09-01 03:59:34
