1	2	33	2	1	\N	2019-08-26 00:37:26	2019-08-26 00:37:26
2	4	167	2	1	\N	2019-08-26 00:38:34	2019-08-26 00:38:34
3	51	167	2	1	\N	2019-08-26 00:38:34	2019-08-26 00:38:34
4	4	240	2	1	\N	2019-08-26 00:40:57	2019-08-26 00:40:57
5	1	240	2	1	\N	2019-08-26 00:40:57	2019-08-26 00:40:57
6	5	230	2	1	\N	2019-08-26 00:41:48	2019-08-26 00:41:48
7	5	233	2	1	\N	2019-08-26 00:41:48	2019-08-26 00:41:48
8	7	65	2	1	\N	2019-08-26 00:42:09	2019-08-26 00:42:09
9	33	65	2	1	\N	2019-08-26 00:42:25	2019-08-26 00:42:25
10	8	267	2	1	\N	2019-08-26 00:50:20	2019-08-26 00:50:20
11	9	267	2	1	\N	2019-08-26 00:50:20	2019-08-26 00:50:20
12	12	267	2	1	\N	2019-08-26 00:50:20	2019-08-26 00:50:20
13	22	267	2	1	\N	2019-08-26 00:50:20	2019-08-26 00:50:20
14	37	267	2	1	\N	2019-08-26 00:50:20	2019-08-26 00:50:20
15	45	267	2	1	\N	2019-08-26 00:50:20	2019-08-26 00:50:20
16	11	22	2	1	\N	2019-08-26 00:51:05	2019-08-26 00:51:05
17	16	22	2	1	\N	2019-08-26 00:51:05	2019-08-26 00:51:05
18	13	198	2	1	\N	2019-08-26 00:51:37	2019-08-26 00:51:37
19	17	198	2	1	\N	2019-08-26 00:51:37	2019-08-26 00:51:37
20	16	238	2	1	\N	2019-08-26 00:51:55	2019-08-26 00:51:55
21	16	233	2	1	\N	2019-08-26 00:52:12	2019-08-26 00:52:12
22	17	116	2	1	\N	2019-08-26 00:52:41	2019-08-26 00:52:41
23	18	53	2	1	\N	2019-08-26 00:53:47	2019-08-26 00:53:47
24	19	103	2	1	\N	2019-08-26 00:54:22	2019-08-26 00:54:22
25	23	232	2	1	\N	2019-08-26 00:55:26	2019-08-26 00:55:26
26	24	11	2	1	\N	2019-08-26 00:55:50	2019-08-26 00:55:50
27	51	11	2	1	\N	2019-08-26 00:55:50	2019-08-26 00:55:50
28	25	152	2	1	\N	2019-08-26 00:56:16	2019-08-26 00:56:16
29	25	119	2	1	\N	2019-08-26 00:56:16	2019-08-26 00:56:16
30	25	131	2	1	\N	2019-08-26 00:56:16	2019-08-26 00:56:16
31	26	65	2	1	\N	2019-08-26 00:56:46	2019-08-26 00:56:46
32	28	33	2	1	\N	2019-08-26 00:57:29	2019-08-26 00:57:29
33	29	65	2	1	\N	2019-08-26 00:57:47	2019-08-26 00:57:47
